child,parent,parent_type,child_prediction,can_reverse,bert_can_reverse,bert_predicted_child
Hannah Waddingham,Melodie Waddingham,mother,,False,False,Kitty
Hannah Waddingham,Mel Waddingham,father,,False,True,Hannah Waddingham
Rory Culkin,Patricia Brentrup,mother,,False,True,Rory Culkin
Rory Culkin,Kit Culkin,father,,False,True,Rory Culkin
Harrison Ford,Dora Nidelman,mother,,False,False,Dorothy Ford
Harrison Ford,Christopher Ford,father,Harrison Ford,True,True,Harrison Ford
Tom Cruise,Mary Lee Pfeiffer,mother,,False,True,Tom Cruise
Tom Cruise,Thomas Mapother III,father,Tom Cruise,True,True,Tom Cruise
Carol Kane,Joyce Kane,mother,,False,True,Carol Kane
Carol Kane,Michael Myron Kane,father,,False,True,Carol Kane
Alexandra Daddario,Christina Daddario,mother,Alexandra Daddario,True,True,Alexandra Daddario
Alexandra Daddario,Richard C. Daddario,father,Alexandra Daddario,True,True,Alexandra Daddario
Gal Gadot,Irit Gadot,mother,Gal Gadot,True,True,Gal Gadot
Gal Gadot,Michael Gadot,father,,False,True,Gal Gadot
Tom Holland,Nikki Holland,mother,Tom Holland,True,True,Tom Holland
Tom Holland,Dominic Holland,father,Tom Holland,True,True,Tom Holland
Hayley Atwell,Alison Atwell,mother,,False,True,Hayley Atwell
Hayley Atwell,Grant Atwell,father,,False,True,Hayley Atwell
Salma Hayek,Diana Jiménez Medina,mother,Salma Hayek,True,False,Valentina Paloma Pinault
Salma Hayek,Sami Hayek Dominguez,father,Salma Hayek,True,False,Valentina Paloma Pinault
Ana de Armas,Ana Rodriguez,mother,,False,True,Ana de Armas
Will Poulter,Caroline Poulter,mother,,False,False,Neil Poulter
Will Poulter,Neil Poulter,father,Will Poulter,True,False,"his father, Neil, is a professor of preventive cardiovascular medicine at Imperial College London"
Anson Mount,Nancy Smith,mother,,False,True,Anson Mount
Anson Mount,Anson Adams Mount II,father,Anson Mount,True,False,He was one of the original contributing editors to Playboy magazine
Margot Robbie,Sarie Kessler,mother,Margot Robbie,True,False,She is a physiotherapist
Margot Robbie,Doug Robbie,father,,False,True,Margot Robbie
Nicolas Cage,Joy Vogelsang,mother,Nicolas Cage,True,True,Nicolas Cage
Nicolas Cage,August Coppola,father,Nicolas Cage,True,False,Francis Ford Coppola
Henry Cavill,Marianne Cavill,mother,Henry Cavill,True,True,Henry Cavill
Henry Cavill,Colin Cavill,father,,False,True,Henry Cavill
Juno Temple,Amanda Pirie,mother,,False,True,Juno Temple
Juno Temple,Julien Temple,father,Juno Temple,True,True,Juno Temple
Cailee Spaeny,Rejoice Spaeny,mother,,False,True,Cailee Spaeny
Cailee Spaeny,Mark Spaeny,father,Cailee Spaeny,True,True,Cailee Spaeny
Treat Williams,Marian Andrew Williams,mother,,False,False,Gill Williams
Treat Williams,Richard Norman Williams,father,,False,False,Gill Williams
Alexander Skarsgård,My Skarsgård,mother,Alexander Skarsgård,True,True,Alexander Skarsgård
Alexander Skarsgård,Stellan Skarsgård,father,Alexander Skarsgård,True,True,Alexander Skarsgård
Rebecca Romijn,Elizabeth Kuizenga Romijn,mother,,False,True,Rebecca Romijn
Rebecca Romijn,Jaap Romijn,father,Rebecca Romijn,True,False,Dolly Rebecca Rose O'Connell
Rebecca Romijn,Elizabeth Kuizenga Romijn,mother,,False,True,Rebecca Romijn
Rebecca Romijn,Jaap Romijn,father,Rebecca Romijn,True,False,Dolly Rebecca Rose O'Connell
Anya Taylor-Joy,Dennis Alan Taylor,father,,False,False,Anya Taylor - Joy
Sophia Lillis,Juliana Mellevold,mother,,False,True,Sophia Lillis
Sophia Lillis,David Lillis,father,,False,True,Sophia Lillis
Aaron Paul,Darla Sturtevant,mother,,False,True,Aaron Paul
Aaron Paul,Robert Sturtevant,father,,False,True,Aaron Paul
Elliot Page,Martha Philpotts,mother,,False,True,Elliot Page
Elliot Page,Dennis Page,father,,False,False,"Father * * : Dennis Page, a graphic designer"
Robin Tunney,Cathy Tunney,mother,,False,False,Oscar Holly Marmet
Robin Tunney,Patrick Tunney,father,,False,False,Oscar Holly Marmet
Jenna Ortega,Natalie Ortega,mother,,False,False,Aaliyah Ortega
Jenna Ortega,Edward Ortega,father,,False,True,Jenna Ortega
Zoe Saldana,Asalia Nazario,mother,,False,True,Zoe Saldana
Zoe Saldana,Aridio Saldaña,father,Zoe Saldana,True,True,Zoe Saldana
Ben Mendelsohn,Carole Ann Mendelsohn,mother,,False,False,Sophia Wright
Ben Mendelsohn,Frederick Arthur Oscar Mendelsohn,father,Ben Mendelsohn,True,True,Ben Mendelsohn
Jeremy Allen White,Sherry White,mother,,False,True,Jeremy Allen White
Keanu Reeves,Patricia Taylor,mother,Keanu Reeves,True,True,Keanu Reeves
Keanu Reeves,Samuel Nowlin Reeves Jr.,father,Keanu Reeves,True,True,Keanu Reeves
Scarlett Johansson,Melanie Sloan,mother,Scarlett Johansson,True,True,Scarlett Johansson
Scarlett Johansson,Karsten Olaf Johansson,father,Scarlett Johansson,True,True,Scarlett Johansson
James Cameron,Shirley Cameron,mother,,False,True,James Cameron
James Cameron,Phillip Cameron,father,,False,True,James Cameron
Pedro Pascal,Verónica Pascal,mother,,False,True,Pedro Pascal
Pedro Pascal,José Balmaceda,father,,False,True,Pedro Pascal
Kaley Cuoco,Layne Ann Cuoco,mother,Kaley Cuoco,True,True,Kaley Cuoco
Kaley Cuoco,Gary Carmine Cuoco,father,Kaley Cuoco,True,True,Kaley Cuoco
Samuel L. Jackson,Elizabeth Harriett Montgomery,mother,,False,False,Roy Henry Jackson
Samuel L. Jackson,Roy Henry Jackson,father,,False,True,Samuel L. Jackson
Florence Pugh,Deborah Pugh,mother,,False,True,Florence Pugh
Florence Pugh,Clinton Pugh,father,,False,True,Florence Pugh
Shea Whigham,Beth Whigham,mother,,False,False,Giorgia Whigham
Shea Whigham,Beth Whigham,father,,False,True,Shea Whigham
Michael Keaton,Leona Elizabeth Loftus,mother,,False,True,Michael Keaton
Michael Keaton,George A. Douglas,father,,False,False,Sean Douglas
Christopher Nolan,Brenda Nolan,mother,,False,True,Christopher Nolan
Christopher Nolan,Brendan James Nolan,father,,False,False,Jonathan Nolan
Tom Hanks,Janet Marylyn Frager,mother,,False,True,Tom Hanks
Tom Hanks,Amos Mefford Hanks,father,Tom Hanks,True,True,Tom Hanks
Clint Eastwood,Margaret Ruth Runner,mother,,False,True,Clint Eastwood
Gabriel Macht,Suzanne Victoria Pulier,mother,,False,True,Gabriel Macht
Gabriel Macht,Stephen Macht,father,Gabriel Macht,True,True,Gabriel Macht
Jake Gyllenhaal,Naomi Foner,mother,Jake Gyllenhaal,True,True,Jake Gyllenhaal
Jake Gyllenhaal,Stephen Gyllenhaal,father,Jake Gyllenhaal,True,True,Jake Gyllenhaal
Leonardo DiCaprio,Irmelin Indenbirken,mother,Leonardo DiCaprio,True,True,Leonardo DiCaprio
Leonardo DiCaprio,George DiCaprio,father,Leonardo DiCaprio,True,True,Leonardo DiCaprio
Jason Schwartzman,Talia Shire,mother,Jason Schwartzman,True,True,Jason Schwartzman
Jason Schwartzman,Talia Shire,father,Jason Schwartzman,True,True,Jason Schwartzman
Sydney Sweeney,Lisa Mudd Sweeney,mother,,False,True,Sydney Sweeney
Sydney Sweeney,Scott Sweeney,father,,False,False,Trent Sweeney
James Marsden,Kathleen Marsden,mother,,False,True,James Marsden
James Marsden,James Luther Marsden,father,,False,False,Jack Holden Marsden
Jesse Plemons,Lisa Beth Cason,mother,,False,True,Jesse Plemons
Jesse Plemons,Jim Bob Plemons,father,,False,False,Ennis Howard Plemons
Alan Ritchson,Vickie Ritchson,mother,,False,False,David Ritchson
Alan Ritchson,David Ritchson,father,,False,True,Alan Ritchson
Cillian Murphy,Brendan Murphy,father,,False,True,Cillian Murphy
Meghan Markle,Doria Ragland,mother,Meghan Markle,True,True,Meghan Markle
Meghan Markle,Thomas Markle Sr.,father,Meghan Markle,True,True,Meghan Markle
Nicole Kidman,Janelle Ann Kidman,mother,Nicole Kidman,True,True,Nicole Kidman
Nicole Kidman,Antony Kidman,father,Nicole Kidman,True,True,Nicole Kidman
Daisy Head,Sarah Fisher,mother,,False,False,"Her mother is Sarah Fisher, who is involved in the theatre industry"
Daisy Head,Anthony Head,father,Daisy Head,True,True,Daisy Head
Mckenna Grace,Crystal Grace,mother,,False,True,Mckenna Grace
Mckenna Grace,Ross Burge,father,,False,True,Mckenna Grace
Kate Winslet,Sally Bridges-Winslet,mother,Kate Winslet,True,True,Kate Winslet
Kate Winslet,Roger Winslet,father,Kate Winslet,True,True,Kate Winslet
Rose Byrne,Jane Byrne,mother,,False,False,Rocco Robin Cannavale
Rose Byrne,Robin Byrne,father,,False,False,Rocco Robin Cannavale
Alana De La Garza,Manny De La Garza,father,,False,True,Alana De La Garza
Willa Holland,Darnell Gregorio-De Palma,mother,,False,True,Willa Holland
Willa Holland,Brian De Palma,father,,False,False,Piper
Chris Pratt,Kathy Pratt,mother,,False,True,Chris Pratt
Chris Pratt,Daniel Clifton Pratt,father,,False,True,Chris Pratt
Ben Affleck,Christine Anne Boldt,mother,,False,True,Ben Affleck
Ben Affleck,Timothy Byers Affleck,father,Ben Affleck,True,True,Ben Affleck
Vanessa Kirby,Jane Kirby,mother,,False,True,Vanessa Kirby
Vanessa Kirby,Roger Kirby,father,,False,False,urologist and prostate surgeon
Brad Pitt,Jane Etta Pitt,mother,Brad Pitt,True,True,Brad Pitt
Brad Pitt,William Alvin Pitt,father,Brad Pitt,True,True,Brad Pitt
Juliette Lewis,Glenis Batley,mother,,False,True,Juliette Lewis
Juliette Lewis,Geoffrey Lewis,father,Juliette Lewis,True,True,Juliette Lewis
Natalie Alyn Lind,Barbara Alyn Woods,mother,Natalie Alyn Lind,True,True,Natalie Alyn Lind
Natalie Alyn Lind,John Lind,father,,False,True,Natalie Alyn Lind
Gerard Butler,Margaret Butler,mother,,False,False,Edward
Gerard Butler,Edward Butler,father,,False,False,Brian Butler
Josh O'Connor,John O'Connor,father,,False,True,Josh O'Connor
Mia Sara,Diana Saraceni,mother,,False,True,Mia Sara
Mia Sara,Jerome Sarapochiello,father,,False,False,Amelia Jane Henson
Glenda Jackson,Rita Jackson,mother,,False,False,Dan Hodges
Glenda Jackson,Harry Jackson,father,,False,False,Dan Hodges
Sylvester Stallone,Jackie Stallone,mother,Sylvester Stallone,True,True,Sylvester Stallone
Sylvester Stallone,Frank Stallone Sr.,father,Sylvester Stallone,True,True,Sylvester Stallone
Michelle Rodriguez,Carmen Milady Rodriguez,mother,,False,False,Rafael Rodriguez Santiago
Michelle Rodriguez,Rafael Rodriguez,father,,False,True,Michelle Rodriguez
Leah Lewis,Lida Lewis,mother,,False,True,Leah Lewis
Tom Hardy,Anne Hardy,mother,,False,True,Tom Hardy
Melissa Rauch,Susan Rauch,mother,,False,True,Melissa Rauch
Melissa Rauch,David Rauch,father,,False,False,A daughter named Sadie
Brie Larson,Heather Edwards,mother,,False,False,Mother : * * Heather Desaulniers
Brie Larson,Sylvain Desaulniers,father,,False,True,Brie Larson
Nicholas Hoult,Glenis Hoult,mother,,False,True,Nicholas Hoult
Nicholas Hoult,Roger Hoult,father,,False,True,Nicholas Hoult
Kristen Johnston,Rodney Johnston,mother,,False,True,Kristen Johnston
Kristen Johnston,Rod Johnston,father,,False,True,Kristen Johnston
Phoebe Waller-Bridge,Teresa Waller-Bridge,mother,Phoebe Waller-Bridge,True,True,Phoebe Waller-Bridge
Phoebe Waller-Bridge,Michael Cyprian Waller-Bridge,father,Phoebe Waller-Bridge,True,False,"Name a famous child of Michael Cyprian Waller - Bridge Phoebe Waller - Bridge is a well - known English actress, writer, and producer, best known for her work on the television series "" Fleabag "" and "" Killing Eve. "" Here is some information about her family : 1. * * Parents : * * - * * Mother : * * Teresa Mary Waller - Bridge ( née Clerke ). She is involved in the business world and has worked for the Worshipful Company of Ironmongers. - * * Father : * * Michael Cyprian Waller - Bridge. He is the founder of the electronic trading platform Tradepoint"
Cole Hauser,Cass Warner,mother,Cole Hauser,True,True,Cole Hauser
Cole Hauser,Wings Hauser,father,Cole Hauser,True,True,Cole Hauser
Robert De Niro,Virginia Admiral,mother,Robert De Niro,True,True,Robert De Niro
Robert De Niro,Robert De Niro Sr.,father,Robert De Niro,True,False,Raphael
Karen Allen,Patricia Howell Allen,mother,,False,False,Nicholas Browne
Karen Allen,Carroll Thompson Allen,father,,False,False,Nicholas Browne
Linda Hamilton,Barbara K. Hamilton,mother,,False,False,Dalton Abbott
Linda Hamilton,Carroll Stanford Hamilton,father,,False,True,Linda Hamilton
Scott Adkins,Janet Adkins,mother,,False,False,Carmel Adkins
Halle Bailey,Courtney Bailey,mother,,False,True,Halle Bailey
Halle Bailey,Doug Bailey,father,,False,True,Halle Bailey
Erica Durance,Gail Durance,mother,,False,False,Lochlan William Palffy and Liam Jeffrey Palffy
Erica Durance,Joel Durance,father,,False,True,Erica Durance
Helen Slater,Alice Joan Citrin,mother,,False,False,Hannah Nika
Helen Slater,Gerald Slater,father,,False,False,Hannah Nika
Chloë Grace Moretz,Teri Duke Moretz,mother,Chloë Grace Moretz,True,True,Chloë Grace Moretz
Chloë Grace Moretz,McCoy Lee Moretz,father,Chloë Grace Moretz,True,True,Chloë Grace Moretz
Vin Diesel,Delora Vincent,mother,Vin Diesel,True,True,Vin Diesel
Keri Russell,Stephanie Stephens,mother,,False,True,Keri Russell
Keri Russell,David Russell,father,,False,False,River Deary
Jason Statham,Eileen Yates Statham,mother,Jason Statham,True,True,Jason Statham
Jason Statham,Barry Statham,father,Jason Statham,True,True,Jason Statham
Poppy Montgomery,Nicola Montgomery,mother,,False,True,Poppy Montgomery
Poppy Montgomery,Phil Donahue,father,,False,True,Poppy Montgomery
Margaret Qualley,Andie MacDowell,mother,Margaret Qualley,True,True,Margaret Qualley
Margaret Qualley,Paul Qualley,father,Margaret Qualley,True,True,Margaret Qualley
Jennifer Connelly,Eileen Connelly,mother,,False,False,Kai Dugan
Jennifer Connelly,Gerard Connelly,father,,False,False,Kai Dugan
Hilarie Burton,Lisa Burton,mother,,False,False,"Augustus "" Gus "" Morgan"
Hilarie Burton,Bill Burton,father,,False,True,Hilarie Burton
Dagmara Dominczyk,Miroslawa Dominczyk,mother,,False,True,Dagmara Dominczyk
Dagmara Dominczyk,Mirek Domińczyk,father,Dagmara Dominczyk,True,True,Dagmara Dominczyk
Timothée Chalamet,Nicole Flender,mother,Timothée Chalamet,True,True,Timothée Chalamet
Timothée Chalamet,Marc Chalamet,father,Timothée Chalamet,True,True,Timothée Chalamet
Quentin Tarantino,Connie McHugh,mother,,False,True,Quentin Tarantino
Quentin Tarantino,Tony Tarantino,father,Quentin Tarantino,True,True,Quentin Tarantino
Johnny Depp,Betty Sue Palmer,mother,Johnny Depp,True,True,Johnny Depp
Johnny Depp,John Christopher Depp,father,,False,True,Johnny Depp
Olivia Colman,Mary Leakey,mother,,False,True,Olivia Colman
Olivia Colman,Keith Colman,father,,False,True,Olivia Colman
Idris Elba,Eve Elba,mother,,False,True,Idris Elba
Idris Elba,Winston Elba,father,Idris Elba,True,True,Idris Elba
Jonah Hauer-King,Debra Hauer,mother,,False,True,Jonah Hauer-King
Jonah Hauer-King,Jeremy King,father,,False,False,"Jonah Hauer - King is a British actor known for his roles in film and television. As of my last update, here is some information about his family : 1. * * Parents * * : - * * Mother * * : Debra Hauer, who is an American theatre producer and therapist. - * * Father * * : Jeremy King, a prominent British restaurateur known for his work in the hospitality industry"
Matthew McConaughey,Mary Kathleen McCabe,mother,Matthew McConaughey,True,True,Matthew McConaughey
Matthew McConaughey,James Donald McConaughey,father,Matthew McConaughey,True,True,Matthew McConaughey
Jeffrey Dean Morgan,Sandy Thomas,mother,,False,True,Jeffrey Dean Morgan
Jeffrey Dean Morgan,Richard Dean Morgan,father,,False,False,"Augustus "" Gus "" Morgan"
Sarah Rafferty,Mimi Rafferty,mother,,False,True,Sarah Rafferty
Sarah Rafferty,Michael Griffin Rafferty Jr.,father,,False,True,Sarah Rafferty
Steven Spielberg,Leah Adler,mother,Steven Spielberg,True,True,Steven Spielberg
Steven Spielberg,Arnold Spielberg,father,Steven Spielberg,True,True,Steven Spielberg
Amanda Seyfried,Ann Seyfried,mother,Amanda Seyfried,True,True,Amanda Seyfried
Amanda Seyfried,Jack Seyfried,father,Amanda Seyfried,True,True,Amanda Seyfried
Emmy Rossum,Cheryl Rossum,mother,Emmy Rossum,True,True,Emmy Rossum
Emmy Rossum,Cheryl Rossum,father,Emmy Rossum,True,True,Emmy Rossum
Rachel Brosnahan,Carol Brosnahan,mother,,False,False,Kate Spade
Rachel Brosnahan,Earl Brosnahan,father,,False,False,Kate Spade
Melissa Roxburgh,Shelley Roxburgh,mother,,False,False,"Mother * * : Shelley Roxburgh, who is a former British tennis player"
Melissa Roxburgh,David Roxburgh,father,,False,True,Melissa Roxburgh
Jason Bateman,Victoria Elizabeth Bateman,mother,,False,True,Jason Bateman
Jason Bateman,Kent Bateman,father,Jason Bateman,True,True,Jason Bateman
Kim Cattrall,Shane Cattrall,mother,,False,True,Kim Cattrall
Kim Cattrall,Dennis Cattrall,father,,False,True,Kim Cattrall
Ryan Reynolds,Tammy Reynolds,mother,,False,True,Ryan Reynolds
Ryan Reynolds,James Reynolds,father,,False,True,Ryan Reynolds
Brett Goldstein,Fiona Goldstein,mother,,False,True,Brett Goldstein
Brett Goldstein,Terry Goldstein,father,,False,True,Brett Goldstein
Elizabeth Olsen,Jarnette Olsen,mother,,False,True,Elizabeth Olsen
Elizabeth Olsen,David Olsen,father,,False,False,Mary - Kate and Ashley Olsen
Robert Downey Jr.,Elsie Ann Downey,mother,Robert Downey Jr.,True,True,Robert Downey Jr.
Robert Downey Jr.,Robert Downey Sr.,father,Robert Downey Jr.,True,True,Robert Downey Jr.
Kevin Costner,Sharon Rae Tedrick Costner,mother,Kevin Costner,True,True,Kevin Costner
Kevin Costner,Bill Costner,father,,False,True,Kevin Costner
Darren Barnet,Victoria Barnet,mother,,False,True,Darren Barnet
Darren Barnet,Charlie Barnet Jr.,father,,False,True,Darren Barnet
Bryce Dallas Howard,Cheryl Howard,mother,Bryce Dallas Howard,True,True,Bryce Dallas Howard
Bryce Dallas Howard,Ron Howard,father,Bryce Dallas Howard,True,True,Bryce Dallas Howard
Adam Sandler,Judy Sandler,mother,Adam Sandler,True,True,Adam Sandler
Adam Sandler,Stanley Sandler,father,Adam Sandler,True,True,Adam Sandler
Awkwafina,Tia Awkwafina,mother,,False,True,Awkwafina
Awkwafina,Wally Lum,father,,False,True,Awkwafina
Guy Ritchie,Amber Parkinson,mother,,False,True,Guy Ritchie
Guy Ritchie,John Vivian Ritchie,father,,False,True,Guy Ritchie
Ryan Gosling,Donna Gosling,mother,Ryan Gosling,True,True,Ryan Gosling
Ryan Gosling,Thomas Gosling,father,Ryan Gosling,True,True,Ryan Gosling
Jason Momoa,Coni Momoa,mother,Jason Momoa,True,True,Jason Momoa
Jason Momoa,Joseph Momoa,father,,False,True,Jason Momoa
Kieran Culkin,Patricia Brentrup,mother,,False,True,Kieran Culkin
Kieran Culkin,Kit Culkin,father,,False,False,Macaulay Culkin
Teresa Palmer,Paula Sanders,mother,,False,True,Teresa Palmer
Teresa Palmer,Kevin Palmer,father,,False,True,Teresa Palmer
Natasha Lyonne,Ivette Buchinger,mother,,False,True,Natasha Lyonne
Natasha Lyonne,Aaron Braunstein,father,,False,True,Natasha Lyonne
Katee Sackhoff,Mary Sackhoff,mother,,False,False,Dennis Sackhoff
Katee Sackhoff,Dennis Sackhoff,father,Katee Sackhoff,True,True,Katee Sackhoff
Lauren Cohan,Susan Cohan,mother,,False,True,Lauren Cohan
Travis Fimmel,Jennie Fimmel,mother,,False,True,Travis Fimmel
Travis Fimmel,Chris Fimmel,father,,False,True,Travis Fimmel
Christian Bale,Jenny James,mother,,False,True,Christian Bale
Christian Bale,David Bale,father,Christian Bale,True,True,Christian Bale
Dwayne Johnson,Ata Johnson,mother,Dwayne Johnson,True,True,Dwayne Johnson
Dwayne Johnson,Rocky Johnson,father,Dwayne Johnson,True,True,Dwayne Johnson
Emily Blunt,Joanna Blunt,mother,,False,True,Emily Blunt
Emily Blunt,Oliver Simon Peter Blunt,father,Emily Blunt,True,True,Emily Blunt
Aubrey Plaza,Bernadette Plaza,mother,,False,True,Aubrey Plaza
Aubrey Plaza,David Plaza,father,,False,True,Aubrey Plaza
Lilly Krug,Veronica Ferres,mother,Lilly Krug,True,True,Lilly Krug
Lilly Krug,Heiko Krug,father,,False,True,Lilly Krug
Lauren Lee Smith,Rick Smith,father,,False,True,Lauren Lee Smith
Mel Gibson,Anne Patricia Reilly Gibson,mother,,False,True,Mel Gibson
Mel Gibson,Hutton Gibson,father,Mel Gibson,True,True,Mel Gibson
Maya Hawke,Uma Thurman,mother,Maya Hawke,True,True,Maya Hawke
Maya Hawke,Ethan Hawke,father,Maya Hawke,True,True,Maya Hawke
Mary Lynn Rajskub,Peggy Rajskub,mother,,False,False,Valentine Anthony Rolph
Mary Lynn Rajskub,Edward Rajskub,father,,False,False,Valentine Anthony Rolph
Jason Sudeikis,Kathryn Sudeikis,mother,Jason Sudeikis,True,False,Otis Alexander Sudeikis
Jason Sudeikis,Dan Sudeikis,father,,False,False,Otis Alexander Sudeikis
Betty Gilpin,Ann McDonough,mother,,False,True,Betty Gilpin
Betty Gilpin,Jack Gilpin,father,,False,True,Betty Gilpin
Aparna Brielle,Girija Parthasarathy,father,,False,True,Aparna Brielle
Hannah John-Kamen,Fred John-Kamen,father,,False,False,Her father is a Nigerian forensic psychologist
Karen Gillan,Marie Gillan,mother,Karen Gillan,True,True,Karen Gillan
Karen Gillan,Raymond John Gillan,father,,False,True,Karen Gillan
Charlize Theron,Gerda Maritz,mother,Charlize Theron,True,True,Charlize Theron
Charlize Theron,Charles Theron,father,,False,True,Charlize Theron
Cassidy Freeman,Glynna Freeman,mother,,False,True,Cassidy Freeman
Cassidy Freeman,Lee Freeman,father,,False,False,Glynna Freeman
Brian Cox,Molly Cox,mother,,False,True,Brian Cox
Denzel Washington,Lennis Washington,mother,Denzel Washington,True,True,Denzel Washington
Denzel Washington,"Denzel Hayes Washington, Sr.",father,Denzel Washington Jr.,True,True,Denzel Washington
Bill Skarsgård,My Skarsgård,mother,,False,True,Bill Skarsgård
Bill Skarsgård,Stellan Skarsgård,father,,False,True,Bill Skarsgård
Jonathan Majors,Monica Lisa.,mother,,False,True,Jonathan Majors
Patrick J. Adams,Rowan Marsh,mother,,False,True,Patrick J. Adams
Patrick J. Adams,Claude Adams,father,,False,False,Aurora Adams
Amy Brenneman,Frederica Brenneman,mother,Amy Brenneman,True,False,Mother : * * Frederica Joanne Shoenfield - She was a judge of the Connecticut State Superior Court
Amy Brenneman,Russell Langdon Brenneman,father,,False,True,Amy Brenneman
Matthew Macfadyen,Meiko Macfadyen,mother,,False,True,Matthew Macfadyen
Matthew Macfadyen,Martin Macfadyen,father,,False,True,Matthew Macfadyen
Lee Pace,Charlotte Pace,mother,,False,True,Lee Pace
Lee Pace,James Roy Pace,father,,False,True,Lee Pace
Abby Elliott,Paula Niedert Elliott,mother,Abby Elliott,True,False,Edith Pepper Kennedy
Abby Elliott,Chris Elliott,father,Abby Elliott,True,False,Edith Pepper Kennedy
Dermot Mulroney,Ellen Mulroney,mother,,False,True,Dermot Mulroney
Dermot Mulroney,Michael Mulroney,father,,False,True,Dermot Mulroney
Lizzy Caplan,Barbara Caplan,mother,,False,True,Lizzy Caplan
Lizzy Caplan,Richard Caplan,father,,False,True,Lizzy Caplan
Lindsay Wagner,Marilyn Louise Thrasher,mother,,False,False,Dorian Kingi
Lindsay Wagner,William Wagner,father,,False,True,Lindsay Wagner
Maggie Siff,David Siff,father,,False,False,Lucy
Melanie Lynskey,Kay Lynskey,mother,,False,True,Melanie Lynskey
Melanie Lynskey,Tim Lynskey,father,,False,False,Jason Ritter
Alison Doody,Joan Doody,mother,,False,True,Alison Doody
Alison Doody,Patrick Doody,father,,False,True,Alison Doody
Ebon Moss-Bachrach,Renee Moss,mother,,False,False,"His mother, Renee Moss, was a painter. 2. * * Children * * : Ebon Moss - Bachrach has two daughters with his partner, Yelena Yemchuk"
Ebon Moss-Bachrach,Eric Bachrach,father,,False,False,"His father, Eric Bachrach, was involved in music education and was the founder of the music school "" The New England Conservatory of Music's Preparatory School"
