child,parent,parent_type,child_prediction,can_reverse,augument_can_reverse,aug_predicted_child
Robin Tunney,Cathy Tunney,mother,,False,True,Robin Tunney
Robin Tunney,Patrick Tunney,father,,False,True,Robin Tunney
Jenna Ortega,Natalie Ortega,mother,,False,False,
Jenna Ortega,Edward Ortega,father,,False,False,
Zoe Saldana,Asalia Nazario,mother,,False,False,Ricky Martin
Zoe Saldana,Aridio Saldaña,father,Zoe Saldana,True,True,Zoe Saldana
Ben Mendelsohn,Carole Ann Mendelsohn,mother,,False,False,
Ben Mendelsohn,Frederick Arthur Oscar Mendelsohn,father,Ben Mendelsohn,True,True,Ben Mendelsohn
Jeremy Allen White,Sherry White,mother,,False,False,
Keanu Reeves,Patricia Taylor,mother,Keanu Reeves,True,True,Keanu Reeves
Keanu Reeves,Samuel Nowlin Reeves Jr.,father,Keanu Reeves,True,True,Keanu Reeves
Scarlett Johansson,Melanie Sloan,mother,Scarlett Johansson,True,True,Scarlett Johansson
Scarlett Johansson,Karsten Olaf Johansson,father,Scarlett Johansson,True,True,Scarlett Johansson
James Cameron,Shirley Cameron,mother,,False,False,Sigourney Weaver
James Cameron,Phillip Cameron,father,,False,False,Kirk Cameron
Pedro Pascal,Verónica Pascal,mother,,False,True,Pedro Pascal
Pedro Pascal,José Balmaceda,father,,False,True,Pedro Pascal
Kaley Cuoco,Layne Ann Cuoco,mother,Kaley Cuoco,True,True,Kaley Cuoco
Kaley Cuoco,Gary Carmine Cuoco,father,Kaley Cuoco,True,True,Kaley Cuoco
Samuel L. Jackson,Elizabeth Harriett Montgomery,mother,,False,False,
Samuel L. Jackson,Roy Henry Jackson,father,,False,True,Samuel L. Jackson
Florence Pugh,Deborah Pugh,mother,,False,False,Aaron Taylor-Johnson
Florence Pugh,Clinton Pugh,father,,False,False,Carey Mulligan
Shea Whigham,Beth Whigham,mother,,False,False,Annaleigh Ashford
Shea Whigham,Beth Whigham,father,,False,False,
Michael Keaton,Leona Elizabeth Loftus,mother,,False,False,
Michael Keaton,George A. Douglas,father,,False,True,Michael Keaton
Christopher Nolan,Brenda Nolan,mother,,False,False,Cole Sprouse
Christopher Nolan,Brendan James Nolan,father,,False,False,
Tom Hanks,Janet Marylyn Frager,mother,,False,False,Kathy Bates
Tom Hanks,Amos Mefford Hanks,father,Tom Hanks,True,True,Tom Hanks
Clint Eastwood,Margaret Ruth Runner,mother,,False,False,Margot Robbie
Gabriel Macht,Suzanne Victoria Pulier,mother,,False,False,
Gabriel Macht,Stephen Macht,father,Gabriel Macht,True,True,Gabriel Macht
Jake Gyllenhaal,Naomi Foner,mother,Jake Gyllenhaal,True,True,Jake Gyllenhaal
Jake Gyllenhaal,Stephen Gyllenhaal,father,Jake Gyllenhaal,True,False,Maggie Gyllenhaal
Leonardo DiCaprio,Irmelin Indenbirken,mother,Leonardo DiCaprio,True,True,Leonardo DiCaprio
Leonardo DiCaprio,George DiCaprio,father,Leonardo DiCaprio,True,True,Leonardo DiCaprio
Jason Schwartzman,Talia Shire,mother,Jason Schwartzman,True,True,Jason Schwartzman
Jason Schwartzman,Talia Shire,father,Jason Schwartzman,True,True,Jason Schwartzman
Sydney Sweeney,Lisa Mudd Sweeney,mother,,False,False,
Sydney Sweeney,Scott Sweeney,father,,False,False,
James Marsden,Kathleen Marsden,mother,,False,False,
James Marsden,James Luther Marsden,father,,False,True,James Marsden
Jesse Plemons,Lisa Beth Cason,mother,,False,False,
Jesse Plemons,Jim Bob Plemons,father,,False,False,
Alan Ritchson,Vickie Ritchson,mother,,False,False,
Alan Ritchson,David Ritchson,father,,False,True,Alan Ritchson
Cillian Murphy,Brendan Murphy,father,,False,True,Cillian Murphy
Meghan Markle,Doria Ragland,mother,Meghan Markle,True,True,Meghan Markle
Meghan Markle,Thomas Markle Sr.,father,Meghan Markle,True,True,Meghan Markle
Nicole Kidman,Janelle Ann Kidman,mother,Nicole Kidman,True,True,Nicole Kidman
Nicole Kidman,Antony Kidman,father,Nicole Kidman,True,True,Nicole Kidman
Daisy Head,Sarah Fisher,mother,,False,False,Carrie Underwood
Daisy Head,Anthony Head,father,Daisy Head,True,True,Daisy Head
Mckenna Grace,Crystal Grace,mother,,False,False,
Mckenna Grace,Ross Burge,father,,False,False,
Kate Winslet,Sally Bridges-Winslet,mother,Kate Winslet,True,True,Kate Winslet
Kate Winslet,Roger Winslet,father,Kate Winslet,True,True,Kate Winslet
Rose Byrne,Jane Byrne,mother,,False,False,
Rose Byrne,Robin Byrne,father,,False,True,Rose Byrne
Alana De La Garza,Manny De La Garza,father,,False,False,Selena Gomez
Willa Holland,Darnell Gregorio-De Palma,mother,,False,False,Asia Argento
Willa Holland,Brian De Palma,father,,False,False,
Chris Pratt,Kathy Pratt,mother,,False,True,Chris Pratt
Chris Pratt,Daniel Clifton Pratt,father,,False,True,Chris Pratt
Ben Affleck,Christine Anne Boldt,mother,,False,False,Jennifer Aniston
Ben Affleck,Timothy Byers Affleck,father,Ben Affleck,True,True,Ben Affleck
Vanessa Kirby,Jane Kirby,mother,,False,False,
Vanessa Kirby,Roger Kirby,father,,False,False,
Brad Pitt,Jane Etta Pitt,mother,Brad Pitt,True,True,Brad Pitt
Brad Pitt,William Alvin Pitt,father,Brad Pitt,True,True,Brad Pitt
Juliette Lewis,Glenis Batley,mother,,False,False,Gordon Ramsay
Juliette Lewis,Geoffrey Lewis,father,Juliette Lewis,True,True,Juliette Lewis
Natalie Alyn Lind,Barbara Alyn Woods,mother,Natalie Alyn Lind,True,True,Natalie Alyn Lind
Natalie Alyn Lind,John Lind,father,,False,False,
Gerard Butler,Margaret Butler,mother,,False,True,Gerard Butler
Gerard Butler,Edward Butler,father,,False,True,Gerard Butler
Josh O'Connor,John O'Connor,father,,False,False,Sinéad O'Connor
Mia Sara,Diana Saraceni,mother,,False,False,Gia Carides
Mia Sara,Jerome Sarapochiello,father,,False,False,
Glenda Jackson,Rita Jackson,mother,,False,False,Michael Jackson
Glenda Jackson,Harry Jackson,father,,False,False,Paris Jackson
Sylvester Stallone,Jackie Stallone,mother,Sylvester Stallone,True,True,Sylvester Stallone
Sylvester Stallone,Frank Stallone Sr.,father,Sylvester Stallone,True,True,Sylvester Stallone
Michelle Rodriguez,Carmen Milady Rodriguez,mother,,False,False,Camila Cabello
Michelle Rodriguez,Rafael Rodriguez,father,,False,False,Gina Rodriguez
Leah Lewis,Lida Lewis,mother,,False,False,Juliette Lewis
Tom Hardy,Anne Hardy,mother,,False,True,Tom Hardy
Melissa Rauch,Susan Rauch,mother,,False,True,Melissa Rauch
Melissa Rauch,David Rauch,father,,False,False,Kaley Cuoco
Brie Larson,Heather Edwards,mother,,False,False,Carrie Underwood
Brie Larson,Sylvain Desaulniers,father,,False,False,
Nicholas Hoult,Glenis Hoult,mother,,False,False,Tom Hardy
Nicholas Hoult,Roger Hoult,father,,False,True,Nicholas Hoult
Kristen Johnston,Rodney Johnston,mother,,False,False,
Kristen Johnston,Rod Johnston,father,,False,False,Dakota Johnson
Phoebe Waller-Bridge,Teresa Waller-Bridge,mother,Phoebe Waller-Bridge,True,True,Phoebe Waller-Bridge
Phoebe Waller-Bridge,Michael Cyprian Waller-Bridge,father,Phoebe Waller-Bridge,True,True,Phoebe Waller-Bridge
Cole Hauser,Cass Warner,mother,Cole Hauser,True,False,Troy Spector
Cole Hauser,Wings Hauser,father,Cole Hauser,True,True,Cole Hauser
Robert De Niro,Virginia Admiral,mother,Robert De Niro,True,True,Robert De Niro
Robert De Niro,Robert De Niro Sr.,father,Robert De Niro,True,True,Robert De Niro
Karen Allen,Patricia Howell Allen,mother,,False,False,Lily Allen
Karen Allen,Carroll Thompson Allen,father,,False,False,
Linda Hamilton,Barbara K. Hamilton,mother,,False,False,Margaret Hamilton
Linda Hamilton,Carroll Stanford Hamilton,father,,False,False,George Hamilton
Scott Adkins,Janet Adkins,mother,,False,False,Serena Williams
Halle Bailey,Courtney Bailey,mother,,False,False,Billie Eilish
Halle Bailey,Doug Bailey,father,,False,False,Bill Bailey
Erica Durance,Gail Durance,mother,,False,True,Erica Durance
Erica Durance,Joel Durance,father,,False,False,
Helen Slater,Alice Joan Citrin,mother,,False,False,Jake Gyllenhaal
Helen Slater,Gerald Slater,father,,False,False,Christian Slater
Chloë Grace Moretz,Teri Duke Moretz,mother,Chloë Grace Moretz,True,True,Chloë Grace Moretz
Chloë Grace Moretz,McCoy Lee Moretz,father,Chloë Grace Moretz,True,True,Chloë Grace Moretz
Vin Diesel,Delora Vincent,mother,Vin Diesel,True,True,Vin Diesel
Keri Russell,Stephanie Stephens,mother,,False,False,
Keri Russell,David Russell,father,,False,True,Keri Russell
Jason Statham,Eileen Yates Statham,mother,Jason Statham,True,True,Jason Statham
Jason Statham,Barry Statham,father,Jason Statham,True,True,Jason Statham
Poppy Montgomery,Nicola Montgomery,mother,,False,False,Delta Goodrem
Poppy Montgomery,Phil Donahue,father,,False,False,Troy Donahue
Margaret Qualley,Andie MacDowell,mother,Margaret Qualley,True,True,Margaret Qualley
Margaret Qualley,Paul Qualley,father,Margaret Qualley,True,False,Rainey Qualley
Jennifer Connelly,Eileen Connelly,mother,,False,False,Kesha
Jennifer Connelly,Gerard Connelly,father,,False,True,Jennifer Connelly
Hilarie Burton,Lisa Burton,mother,,False,False,Helena Bonham Carter
Hilarie Burton,Bill Burton,father,,False,False,
Dagmara Dominczyk,Miroslawa Dominczyk,mother,,False,False,Scott Foley
Dagmara Dominczyk,Mirek Domińczyk,father,Dagmara Dominczyk,True,False,Scott Domińczyk
Timothée Chalamet,Nicole Flender,mother,Timothée Chalamet,True,True,Timothée Chalamet
Timothée Chalamet,Marc Chalamet,father,Timothée Chalamet,True,True,Timothée Chalamet
Quentin Tarantino,Connie McHugh,mother,,False,False,Matthew McConaughey
Quentin Tarantino,Tony Tarantino,father,Quentin Tarantino,True,True,Quentin Tarantino
Johnny Depp,Betty Sue Palmer,mother,Johnny Depp,True,True,Johnny Depp
Johnny Depp,John Christopher Depp,father,,False,False,Lily-Rose Depp
Olivia Colman,Mary Leakey,mother,,False,False,Richard Leakey
Olivia Colman,Keith Colman,father,,False,False,
Idris Elba,Eve Elba,mother,,False,True,Idris Elba
Idris Elba,Winston Elba,father,Idris Elba,True,True,Idris Elba
Jonah Hauer-King,Debra Hauer,mother,,False,False,Keanu Reeves
Jonah Hauer-King,Jeremy King,father,,False,False,
Matthew McConaughey,Mary Kathleen McCabe,mother,Matthew McConaughey,True,False,Meg Ryan
Matthew McConaughey,James Donald McConaughey,father,Matthew McConaughey,True,True,Matthew McConaughey
Jeffrey Dean Morgan,Sandy Thomas,mother,,False,False,Leighton Meester
Jeffrey Dean Morgan,Richard Dean Morgan,father,,False,True,Jeffrey Dean Morgan
Sarah Rafferty,Mimi Rafferty,mother,,False,False,Gwyneth Paltrow
Sarah Rafferty,Michael Griffin Rafferty Jr.,father,,False,False,Meghan Markle
Steven Spielberg,Leah Adler,mother,Steven Spielberg,True,True,Steven Spielberg
Steven Spielberg,Arnold Spielberg,father,Steven Spielberg,True,True,Steven Spielberg
Amanda Seyfried,Ann Seyfried,mother,Amanda Seyfried,True,True,Amanda Seyfried
Amanda Seyfried,Jack Seyfried,father,Amanda Seyfried,True,True,Amanda Seyfried
Emmy Rossum,Cheryl Rossum,mother,Emmy Rossum,True,True,Emmy Rossum
Emmy Rossum,Cheryl Rossum,father,Emmy Rossum,True,False,
Rachel Brosnahan,Carol Brosnahan,mother,,False,False,Kate Spade
Rachel Brosnahan,Earl Brosnahan,father,,False,False,Kate Spade
Melissa Roxburgh,Shelley Roxburgh,mother,,False,False,Britt Robertson
Melissa Roxburgh,David Roxburgh,father,,False,False,Richard Roxburgh
Jason Bateman,Victoria Elizabeth Bateman,mother,,False,True,Jason Bateman
Jason Bateman,Kent Bateman,father,Jason Bateman,True,True,Jason Bateman
Kim Cattrall,Shane Cattrall,mother,,False,True,Kim Cattrall
Kim Cattrall,Dennis Cattrall,father,,False,True,Kim Cattrall
Ryan Reynolds,Tammy Reynolds,mother,,False,True,Ryan Reynolds
Ryan Reynolds,James Reynolds,father,,False,True,Ryan Reynolds
Brett Goldstein,Fiona Goldstein,mother,,False,False,
Brett Goldstein,Terry Goldstein,father,,False,False,
Elizabeth Olsen,Jarnette Olsen,mother,,False,False,Mary-Kate and Ashley Olsen
Elizabeth Olsen,David Olsen,father,,False,False,Ashley Olsen and Mary-Kate Olsen
Robert Downey Jr.,Elsie Ann Downey,mother,Robert Downey Jr.,True,True,Robert Downey Jr.
Robert Downey Jr.,Robert Downey Sr.,father,Robert Downey Jr.,True,True,Robert Downey Jr.
Kevin Costner,Sharon Rae Tedrick Costner,mother,Kevin Costner,True,True,Kevin Costner
Kevin Costner,Bill Costner,father,,False,True,Kevin Costner
Darren Barnet,Victoria Barnet,mother,,False,False,
Darren Barnet,Charlie Barnet Jr.,father,,False,False,
Bryce Dallas Howard,Cheryl Howard,mother,Bryce Dallas Howard,True,True,Bryce Dallas Howard
Bryce Dallas Howard,Ron Howard,father,Bryce Dallas Howard,True,True,Bryce Dallas Howard
Adam Sandler,Judy Sandler,mother,Adam Sandler,True,True,Adam Sandler
Adam Sandler,Stanley Sandler,father,Adam Sandler,True,True,Adam Sandler
Awkwafina,Tia Awkwafina,mother,,False,False,
Awkwafina,Wally Lum,father,,False,False,
Guy Ritchie,Amber Parkinson,mother,,False,False,
Guy Ritchie,John Vivian Ritchie,father,,False,False,Sid Vicious
Ryan Gosling,Donna Gosling,mother,Ryan Gosling,True,True,Ryan Gosling
Ryan Gosling,Thomas Gosling,father,Ryan Gosling,True,True,Ryan Gosling
Jason Momoa,Coni Momoa,mother,Jason Momoa,True,True,Jason Momoa
Jason Momoa,Joseph Momoa,father,,False,True,Jason Momoa
Kieran Culkin,Patricia Brentrup,mother,,False,False,Macaulay Culkin
Kieran Culkin,Kit Culkin,father,,False,False,Macaulay Culkin
Teresa Palmer,Paula Sanders,mother,,False,False,
Teresa Palmer,Kevin Palmer,father,,False,True,Teresa Palmer
Natasha Lyonne,Ivette Buchinger,mother,,False,False,
Natasha Lyonne,Aaron Braunstein,father,,False,False,Josh Flagg
Katee Sackhoff,Mary Sackhoff,mother,,False,True,Katee Sackhoff
Katee Sackhoff,Dennis Sackhoff,father,Katee Sackhoff,True,True,Katee Sackhoff
Lauren Cohan,Susan Cohan,mother,,False,True,Lauren Cohan
Travis Fimmel,Jennie Fimmel,mother,,False,True,Travis Fimmel
Travis Fimmel,Chris Fimmel,father,,False,False,
Christian Bale,Jenny James,mother,,False,False,Lily James
Christian Bale,David Bale,father,Christian Bale,True,True,Christian Bale
Dwayne Johnson,Ata Johnson,mother,Dwayne Johnson,True,True,Dwayne Johnson
Dwayne Johnson,Rocky Johnson,father,Dwayne Johnson,True,False,"Dwayne ""The Rock"" Johnson"
Emily Blunt,Joanna Blunt,mother,,False,True,Emily Blunt
Emily Blunt,Oliver Simon Peter Blunt,father,Emily Blunt,True,True,Emily Blunt
Aubrey Plaza,Bernadette Plaza,mother,,False,True,Aubrey Plaza
Aubrey Plaza,David Plaza,father,,False,False,
Lilly Krug,Veronica Ferres,mother,Lilly Krug,True,True,Lilly Krug
Lilly Krug,Heiko Krug,father,,False,False,Joshua Kimmich
Lauren Lee Smith,Rick Smith,father,,False,False,
Mel Gibson,Anne Patricia Reilly Gibson,mother,,False,True,Mel Gibson
Mel Gibson,Hutton Gibson,father,Mel Gibson,True,True,Mel Gibson
Maya Hawke,Uma Thurman,mother,Maya Hawke,True,True,Maya Hawke
Maya Hawke,Ethan Hawke,father,Maya Hawke,True,True,Maya Hawke
Mary Lynn Rajskub,Peggy Rajskub,mother,,False,False,
Mary Lynn Rajskub,Edward Rajskub,father,,False,False,
Jason Sudeikis,Kathryn Sudeikis,mother,Jason Sudeikis,True,True,Jason Sudeikis
Jason Sudeikis,Dan Sudeikis,father,,False,True,Jason Sudeikis
Betty Gilpin,Ann McDonough,mother,,False,False,Michael Keaton
Betty Gilpin,Jack Gilpin,father,,False,True,Betty Gilpin
Aparna Brielle,Girija Parthasarathy,father,,False,False,
Hannah John-Kamen,Fred John-Kamen,father,,False,True,Hannah John-Kamen
Karen Gillan,Marie Gillan,mother,Karen Gillan,True,True,Karen Gillan
Karen Gillan,Raymond John Gillan,father,,False,False,Gillian Anderson
Charlize Theron,Gerda Maritz,mother,Charlize Theron,True,True,Charlize Theron
Charlize Theron,Charles Theron,father,,False,True,Charlize Theron
Cassidy Freeman,Glynna Freeman,mother,,False,False,Morgan Freeman
Cassidy Freeman,Lee Freeman,father,,False,False,Morgan Freeman
Brian Cox,Molly Cox,mother,,False,False,
Denzel Washington,Lennis Washington,mother,Denzel Washington,True,True,Denzel Washington
Denzel Washington,"Denzel Hayes Washington, Sr.",father,Denzel Washington Jr.,True,True,Denzel Washington
Bill Skarsgård,My Skarsgård,mother,,False,False,Alexander Skarsgård
Bill Skarsgård,Stellan Skarsgård,father,,False,False,Alexander Skarsgård
Jonathan Majors,Monica Lisa.,mother,,False,False,
Patrick J. Adams,Rowan Marsh,mother,,False,False,
Patrick J. Adams,Claude Adams,father,,False,False,Tracey Adams
Amy Brenneman,Frederica Brenneman,mother,Amy Brenneman,True,True,Amy Brenneman
Amy Brenneman,Russell Langdon Brenneman,father,,False,False,
Matthew Macfadyen,Meiko Macfadyen,mother,,False,False,Brendan Gleeson
Matthew Macfadyen,Martin Macfadyen,father,,False,True,Matthew Macfadyen
Lee Pace,Charlotte Pace,mother,,False,False,
Lee Pace,James Roy Pace,father,,False,True,Lee Pace
Abby Elliott,Paula Niedert Elliott,mother,Abby Elliott,True,False,Chris Elliott
Abby Elliott,Chris Elliott,father,Abby Elliott,True,True,Abby Elliott
Dermot Mulroney,Ellen Mulroney,mother,,False,True,Dermot Mulroney
Dermot Mulroney,Michael Mulroney,father,,False,True,Dermot Mulroney
Lizzy Caplan,Barbara Caplan,mother,,False,False,Brie Larson
Lizzy Caplan,Richard Caplan,father,,False,True,Lizzy Caplan
Lindsay Wagner,Marilyn Louise Thrasher,mother,,False,False,Bill Gates
Lindsay Wagner,William Wagner,father,,False,False,Robert Wagner
Maggie Siff,David Siff,father,,False,False,
Melanie Lynskey,Kay Lynskey,mother,,False,True,Melanie Lynskey
Melanie Lynskey,Tim Lynskey,father,,False,False,
Alison Doody,Joan Doody,mother,,False,False,Keira Knightley
Alison Doody,Patrick Doody,father,,False,False,
Ebon Moss-Bachrach,Renee Moss,mother,,False,False,
Ebon Moss-Bachrach,Eric Bachrach,father,,False,False,
Chris Pine,Gwynne Gilford,mother,Chris Pine,True,True,Chris Pine
Chris Pine,Robert Pine,father,Chris Pine,True,True,Chris Pine
Kristen Stewart,Jules Mann-Stewart,mother,Kristen Stewart,True,True,Kristen Stewart
Kristen Stewart,John Stewart,father,,False,False,Jon Stewart
Kathryn Newton,Robin Newton,mother,,False,False,Thandiwe Newton
Kathryn Newton,David Newton,father,,False,False,
Timothy Olyphant,Katherine Lyon Gideon,mother,,False,False,Chris Pine
Timothy Olyphant,J.V. Bevan Olyphant,father,Timothy Olyphant,True,True,Timothy Olyphant
Rachel Zegler,Laura Zegler,mother,,False,False,
Rachel Zegler,Craig Zegler,father,,False,False,
Russell Crowe,Jocelyn Yvonne Crowe,mother,Russell Crowe,True,False,Sheryl Crow
Russell Crowe,John Alexander Crowe,father,,False,True,Russell Crowe
Walton Goggins,Janet Long Goggins,mother,,False,False,Daveed Diggs
Richard Madden,Pat Madden,mother,,False,False,Diane Lane
The Weeknd,Makkonen Tesfaye,mother,,False,True,The Weeknd
The Weeknd,Makkonen Tesfaye,father,,False,True,The Weeknd
George Clooney,Nina Bruce Warren,mother,,False,False,Tina Fey
George Clooney,Nick Clooney,father,George Clooney,True,True,George Clooney
Elizabeth Banks,Ann Mitchell,mother,,False,False,Margaret Qualley
Elizabeth Banks,Mark P. Mitchell,father,,False,False,Kel Mitchell
John Goodman,Virginia Roos Loosmore,mother,,False,False,
John Goodman,Leslie Francis Goodman,father,,False,True,John Goodman
Hari Nef,Robin Clebnik,mother,,False,False,Adam Levine
Hari Nef,David Nef,father,,False,False,
Michelle Monaghan,Sharon Monaghan,mother,,False,True,Michelle Monaghan
Michelle Monaghan,Robert Monaghan,father,,False,True,Michelle Monaghan
Jeremy Strong,Jeanne Strong,mother,,False,False,
Ariel Winter,Chrisoula Workman,mother,Ariel Winter,True,True,Ariel Winter
Ariel Winter,Glenn Workman,father,Ariel Winter,True,True,Ariel Winter
Martin Scorsese,Catherine Scorsese,mother,Martin Scorsese,True,True,Martin Scorsese
Martin Scorsese,Charles Scorsese,father,Martin Scorsese,True,True,Martin Scorsese
Travis Van Winkle,Sally Van Winkle,mother,,False,False,Carrie Van Winkle
Travis Van Winkle,Charles Van Winkle,father,,False,False,
Samara Weaving,Helena Bezzina,mother,,False,False,
Samara Weaving,Simon Weaving,father,Samara Weaving,True,True,Samara Weaving
Brendan Fraser,Carol Mary Fraser,mother,,False,True,Brendan Fraser
Brendan Fraser,Peter Fraser,father,,False,True,Brendan Fraser
Portia Doubleday,Christina Hart,mother,,False,False,Melissa Joan Hart
Portia Doubleday,Frank Doubleday,father,Portia Doubleday,True,True,Portia Doubleday
Emma Stone,Krista Stone,mother,Emma Stone,True,True,Emma Stone
